[2025-09-20T19:04:36.579+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:04:36.610+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.630+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Orders scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:36.632+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 3
[2025-09-20T19:06:59.430+0000] {01_Bronce.py:223} INFO - Processing chunk 17 with 15000 rows
[2025-09-20T19:07:09.586+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 255,000
[2025-09-20T19:07:09.985+0000] {01_Bronce.py:223} INFO - Processing chunk 18 with 15000 rows
[2025-09-20T19:07:16.095+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 270,000
[2025-09-20T19:07:16.509+0000] {01_Bronce.py:223} INFO - Processing chunk 19 with 15000 rows
[2025-09-20T19:07:22.762+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 285,000
[2025-09-20T19:07:23.206+0000] {01_Bronce.py:223} INFO - Processing chunk 20 with 15000 rows
[2025-09-20T19:07:30.348+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 300,000
[2025-09-20T19:07:30.805+0000] {01_Bronce.py:223} INFO - Processing chunk 21 with 15000 rows
[2025-09-20T19:07:37.013+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 315,000
[2025-09-20T19:07:37.497+0000] {01_Bronce.py:223} INFO - Processing chunk 22 with 15000 rows
[2025-09-20T19:07:48.481+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 330,000
[2025-09-20T19:07:48.894+0000] {01_Bronce.py:223} INFO - Processing chunk 23 with 15000 rows
[2025-09-20T19:07:54.350+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 345,000
[2025-09-20T19:07:54.796+0000] {01_Bronce.py:223} INFO - Processing chunk 24 with 15000 rows
[2025-09-20T19:08:00.485+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 360,000
