[2025-09-20T19:47:09.187+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.214+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.227+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:49:06.885+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 210,000
[2025-09-20T19:49:07.233+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 15 with 15000 rows
[2025-09-20T19:49:13.343+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 225,000
[2025-09-20T19:49:13.615+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 16 with 15000 rows
[2025-09-20T19:49:19.073+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 240,000
[2025-09-20T19:49:19.417+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 17 with 15000 rows
[2025-09-20T19:49:24.406+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 255,000
[2025-09-20T19:49:24.678+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 18 with 15000 rows
[2025-09-20T19:49:32.421+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 270,000
[2025-09-20T19:49:32.655+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 19 with 15000 rows
[2025-09-20T19:49:37.409+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 15,000 rows. Total: 285,000
