[2025-09-20T19:47:09.180+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:47:09.211+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.225+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-01T00:00:00+00:00 [queued]>
[2025-09-20T19:47:09.226+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 3
[2025-09-20T19:48:25.417+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 15 with 25000 rows
[2025-09-20T19:48:29.247+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 375,000
[2025-09-20T19:48:29.542+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 16 with 25000 rows
[2025-09-20T19:48:33.941+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 400,000
[2025-09-20T19:48:34.289+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 17 with 25000 rows
[2025-09-20T19:48:38.340+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 425,000
[2025-09-20T19:48:38.668+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 18 with 25000 rows
[2025-09-20T19:48:42.344+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 450,000
[2025-09-20T19:48:42.629+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 19 with 25000 rows
[2025-09-20T19:48:46.938+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 475,000
[2025-09-20T19:48:47.248+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 20 with 25000 rows
[2025-09-20T19:48:50.413+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 500,000
[2025-09-20T19:48:50.644+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 21 with 25000 rows
[2025-09-20T19:48:57.249+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 525,000
[2025-09-20T19:48:57.520+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 22 with 25000 rows
[2025-09-20T19:49:00.386+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 550,000
[2025-09-20T19:49:00.706+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 23 with 25000 rows
[2025-09-20T19:49:03.595+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 575,000
[2025-09-20T19:49:03.866+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 24 with 25000 rows
[2025-09-20T19:49:07.158+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 600,000
[2025-09-20T19:49:07.498+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 25 with 25000 rows
[2025-09-20T19:49:11.164+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 625,000
[2025-09-20T19:49:11.419+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 26 with 25000 rows
[2025-09-20T19:49:14.396+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 650,000
[2025-09-20T19:49:14.656+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 27 with 25000 rows
[2025-09-20T19:49:17.854+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 675,000
[2025-09-20T19:49:18.099+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 28 with 25000 rows
[2025-09-20T19:49:21.041+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 700,000
[2025-09-20T19:49:21.301+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 29 with 25000 rows
[2025-09-20T19:49:24.151+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 725,000
[2025-09-20T19:49:24.381+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 30 with 25000 rows
[2025-09-20T19:49:26.902+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 750,000
[2025-09-20T19:49:27.124+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 31 with 25000 rows
[2025-09-20T19:49:32.972+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 775,000
[2025-09-20T19:49:33.236+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 32 with 25000 rows
[2025-09-20T19:49:35.815+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 800,000
[2025-09-20T19:49:36.117+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 33 with 25000 rows
[2025-09-20T19:49:38.876+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 825,000
[2025-09-20T19:49:39.175+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 34 with 25000 rows
[2025-09-20T19:49:42.162+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 850,000
[2025-09-20T19:49:42.538+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 35 with 25000 rows
[2025-09-20T19:49:45.443+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 875,000
[2025-09-20T19:49:45.672+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 36 with 25000 rows
[2025-09-20T19:49:48.468+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 900,000
[2025-09-20T19:49:48.666+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 37 with 25000 rows
[2025-09-20T19:49:51.840+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 925,000
[2025-09-20T19:49:52.146+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 38 with 25000 rows
[2025-09-20T19:49:55.713+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 950,000
[2025-09-20T19:49:55.994+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 39 with 25000 rows
[2025-09-20T19:49:59.501+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 975,000
[2025-09-20T19:49:59.752+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 40 with 25000 rows
[2025-09-20T19:50:02.630+0000] {spaceparts_etl_orchestrator.py:324} INFO - Loaded chunk: 25,000 rows. Total: 1,000,000
[2025-09-20T19:50:02.894+0000] {spaceparts_etl_orchestrator.py:223} INFO - Processing chunk 41 with 25000 rows
