[2025-09-20T19:04:35.366+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:04:35.424+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:35.460+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:35.462+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 3
[2025-09-20T19:04:35.502+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_load_fact_Budget> on 2024-01-02 00:00:00+00:00
[2025-09-20T19:04:35.517+0000] {standard_task_runner.py:72} INFO - Started process 122 to run task
[2025-09-20T19:04:35.528+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'bronze_full_load_spaceparts_optimized', 'extract_load_fact_Budget', 'scheduled__2024-01-02T00:00:00+00:00', '--job-id', '195', '--raw', '--subdir', 'DAGS_FOLDER/01_Bronce.py', '--cfg-path', '/tmp/tmp2tb4b2h3']
[2025-09-20T19:04:35.535+0000] {standard_task_runner.py:105} INFO - Job 195: Subtask extract_load_fact_Budget
[2025-09-20T19:04:36.361+0000] {task_command.py:467} INFO - Running <TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Budget scheduled__2024-01-02T00:00:00+00:00 [running]> on host 7abc58c5db43
[2025-09-20T19:04:36.566+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data-team' AIRFLOW_CTX_DAG_ID='bronze_full_load_spaceparts_optimized' AIRFLOW_CTX_TASK_ID='extract_load_fact_Budget' AIRFLOW_CTX_EXECUTION_DATE='2024-01-02T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-02T00:00:00+00:00'
[2025-09-20T19:04:36.567+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-09-20T19:04:36.584+0000] {01_Bronce.py:357} INFO - Starting optimized extraction for table: fact.Budget
[2025-09-20T19:04:39.816+0000] {01_Bronce.py:368} INFO - Table fact.Budget has 2,947,811 rows
[2025-09-20T19:04:39.816+0000] {01_Bronce.py:389} INFO - Using chunk size: 25,000 for 2,947,811 rows
[2025-09-20T19:04:39.817+0000] {01_Bronce.py:393} INFO - Starting streaming extraction and load for fact.Budget
[2025-09-20T19:04:47.112+0000] {01_Bronce.py:223} INFO - Processing chunk 1 with 25000 rows
[2025-09-20T19:04:47.225+0000] {01_Bronce.py:275} INFO - Table bronze_fact_budget created successfully
[2025-09-20T19:04:55.702+0000] {01_Bronce.py:324} INFO - Loaded chunk: 25,000 rows. Total: 25,000
[2025-09-20T19:04:56.372+0000] {01_Bronce.py:223} INFO - Processing chunk 2 with 25000 rows
[2025-09-20T19:05:04.297+0000] {01_Bronce.py:324} INFO - Loaded chunk: 25,000 rows. Total: 50,000
[2025-09-20T19:05:04.726+0000] {01_Bronce.py:223} INFO - Processing chunk 3 with 25000 rows
[2025-09-20T19:05:10.401+0000] {01_Bronce.py:324} INFO - Loaded chunk: 25,000 rows. Total: 75,000
[2025-09-20T19:05:10.773+0000] {01_Bronce.py:223} INFO - Processing chunk 4 with 25000 rows
[2025-09-20T19:05:15.758+0000] {01_Bronce.py:324} INFO - Loaded chunk: 25,000 rows. Total: 100,000
[2025-09-20T19:05:16.074+0000] {01_Bronce.py:223} INFO - Processing chunk 5 with 25000 rows
[2025-09-20T19:05:24.475+0000] {01_Bronce.py:324} INFO - Loaded chunk: 25,000 rows. Total: 125,000
[2025-09-20T19:05:24.944+0000] {01_Bronce.py:223} INFO - Processing chunk 6 with 25000 rows
