[2025-09-20T19:04:35.522+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-09-20T19:04:35.586+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:35.608+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-02T00:00:00+00:00 [queued]>
[2025-09-20T19:04:35.609+0000] {taskinstance.py:2867} INFO - Starting attempt 2 of 3
[2025-09-20T19:04:35.658+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): extract_load_fact_Invoices> on 2024-01-02 00:00:00+00:00
[2025-09-20T19:04:35.666+0000] {standard_task_runner.py:72} INFO - Started process 129 to run task
[2025-09-20T19:04:35.676+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'bronze_full_load_spaceparts_optimized', 'extract_load_fact_Invoices', 'scheduled__2024-01-02T00:00:00+00:00', '--job-id', '197', '--raw', '--subdir', 'DAGS_FOLDER/01_Bronce.py', '--cfg-path', '/tmp/tmptkub6cwf']
[2025-09-20T19:04:35.680+0000] {standard_task_runner.py:105} INFO - Job 197: Subtask extract_load_fact_Invoices
[2025-09-20T19:04:36.208+0000] {task_command.py:467} INFO - Running <TaskInstance: bronze_full_load_spaceparts_optimized.extract_load_fact_Invoices scheduled__2024-01-02T00:00:00+00:00 [running]> on host 7abc58c5db43
[2025-09-20T19:04:36.451+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data-team' AIRFLOW_CTX_DAG_ID='bronze_full_load_spaceparts_optimized' AIRFLOW_CTX_TASK_ID='extract_load_fact_Invoices' AIRFLOW_CTX_EXECUTION_DATE='2024-01-02T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-01-02T00:00:00+00:00'
[2025-09-20T19:04:36.453+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-09-20T19:04:36.477+0000] {01_Bronce.py:357} INFO - Starting optimized extraction for table: fact.Invoices
[2025-09-20T19:04:39.740+0000] {01_Bronce.py:368} INFO - Table fact.Invoices has 18,459,441 rows
[2025-09-20T19:04:39.740+0000] {01_Bronce.py:389} INFO - Using chunk size: 15,000 for 18,459,441 rows
[2025-09-20T19:04:39.741+0000] {01_Bronce.py:393} INFO - Starting streaming extraction and load for fact.Invoices
[2025-09-20T19:04:47.526+0000] {01_Bronce.py:223} INFO - Processing chunk 1 with 15000 rows
[2025-09-20T19:04:47.691+0000] {01_Bronce.py:275} INFO - Table bronze_fact_invoices created successfully
[2025-09-20T19:05:01.415+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 15,000
[2025-09-20T19:05:01.922+0000] {01_Bronce.py:223} INFO - Processing chunk 2 with 15000 rows
[2025-09-20T19:05:12.081+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 30,000
[2025-09-20T19:05:12.577+0000] {01_Bronce.py:223} INFO - Processing chunk 3 with 15000 rows
[2025-09-20T19:05:24.151+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 45,000
[2025-09-20T19:05:24.723+0000] {01_Bronce.py:223} INFO - Processing chunk 4 with 15000 rows
[2025-09-20T19:05:32.575+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 60,000
[2025-09-20T19:05:33.053+0000] {01_Bronce.py:223} INFO - Processing chunk 5 with 15000 rows
[2025-09-20T19:05:42.484+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 75,000
[2025-09-20T19:05:43.007+0000] {01_Bronce.py:223} INFO - Processing chunk 6 with 15000 rows
[2025-09-20T19:05:51.036+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 90,000
[2025-09-20T19:05:51.403+0000] {01_Bronce.py:223} INFO - Processing chunk 7 with 15000 rows
[2025-09-20T19:06:03.238+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 105,000
[2025-09-20T19:06:03.656+0000] {01_Bronce.py:223} INFO - Processing chunk 8 with 15000 rows
[2025-09-20T19:06:11.222+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 120,000
[2025-09-20T19:06:11.732+0000] {01_Bronce.py:223} INFO - Processing chunk 9 with 15000 rows
[2025-09-20T19:06:20.873+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 135,000
[2025-09-20T19:06:21.316+0000] {01_Bronce.py:223} INFO - Processing chunk 10 with 15000 rows
[2025-09-20T19:06:33.340+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 150,000
[2025-09-20T19:06:33.861+0000] {01_Bronce.py:223} INFO - Processing chunk 11 with 15000 rows
[2025-09-20T19:06:42.906+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 165,000
[2025-09-20T19:06:43.261+0000] {01_Bronce.py:223} INFO - Processing chunk 12 with 15000 rows
[2025-09-20T19:06:52.296+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 180,000
[2025-09-20T19:06:52.715+0000] {01_Bronce.py:223} INFO - Processing chunk 13 with 15000 rows
[2025-09-20T19:07:02.404+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 195,000
[2025-09-20T19:07:02.880+0000] {01_Bronce.py:223} INFO - Processing chunk 14 with 15000 rows
[2025-09-20T19:07:14.201+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 210,000
[2025-09-20T19:07:14.690+0000] {01_Bronce.py:223} INFO - Processing chunk 15 with 15000 rows
[2025-09-20T19:07:22.628+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 225,000
[2025-09-20T19:07:23.069+0000] {01_Bronce.py:223} INFO - Processing chunk 16 with 15000 rows
[2025-09-20T19:07:31.963+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 240,000
[2025-09-20T19:07:32.316+0000] {01_Bronce.py:223} INFO - Processing chunk 17 with 15000 rows
[2025-09-20T19:07:44.580+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 255,000
[2025-09-20T19:07:45.231+0000] {01_Bronce.py:223} INFO - Processing chunk 18 with 15000 rows
[2025-09-20T19:07:53.102+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 270,000
[2025-09-20T19:07:53.445+0000] {01_Bronce.py:223} INFO - Processing chunk 19 with 15000 rows
[2025-09-20T19:08:00.821+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 285,000
[2025-09-20T19:08:01.253+0000] {01_Bronce.py:223} INFO - Processing chunk 20 with 15000 rows
[2025-09-20T19:08:08.037+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 300,000
[2025-09-20T19:08:08.555+0000] {01_Bronce.py:223} INFO - Processing chunk 21 with 15000 rows
[2025-09-20T19:08:14.919+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 315,000
[2025-09-20T19:08:15.210+0000] {01_Bronce.py:223} INFO - Processing chunk 22 with 15000 rows
[2025-09-20T19:08:22.660+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 330,000
[2025-09-20T19:08:22.875+0000] {01_Bronce.py:223} INFO - Processing chunk 23 with 15000 rows
[2025-09-20T19:08:26.856+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 345,000
[2025-09-20T19:08:27.096+0000] {01_Bronce.py:223} INFO - Processing chunk 24 with 15000 rows
[2025-09-20T19:08:31.138+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 360,000
[2025-09-20T19:08:31.540+0000] {01_Bronce.py:223} INFO - Processing chunk 25 with 15000 rows
[2025-09-20T19:08:35.526+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 375,000
[2025-09-20T19:08:35.775+0000] {01_Bronce.py:223} INFO - Processing chunk 26 with 15000 rows
[2025-09-20T19:08:39.838+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 390,000
[2025-09-20T19:08:40.067+0000] {01_Bronce.py:223} INFO - Processing chunk 27 with 15000 rows
[2025-09-20T19:08:44.101+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 405,000
[2025-09-20T19:08:44.352+0000] {01_Bronce.py:223} INFO - Processing chunk 28 with 15000 rows
[2025-09-20T19:08:48.862+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 420,000
[2025-09-20T19:08:49.126+0000] {01_Bronce.py:223} INFO - Processing chunk 29 with 15000 rows
[2025-09-20T19:08:56.816+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 435,000
[2025-09-20T19:08:57.076+0000] {01_Bronce.py:223} INFO - Processing chunk 30 with 15000 rows
[2025-09-20T19:09:01.806+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 450,000
[2025-09-20T19:09:02.145+0000] {01_Bronce.py:223} INFO - Processing chunk 31 with 15000 rows
[2025-09-20T19:09:06.982+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 465,000
[2025-09-20T19:09:07.284+0000] {01_Bronce.py:223} INFO - Processing chunk 32 with 15000 rows
[2025-09-20T19:09:11.910+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 480,000
[2025-09-20T19:09:12.182+0000] {01_Bronce.py:223} INFO - Processing chunk 33 with 15000 rows
[2025-09-20T19:09:16.869+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 495,000
[2025-09-20T19:09:17.197+0000] {01_Bronce.py:223} INFO - Processing chunk 34 with 15000 rows
[2025-09-20T19:09:22.260+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 510,000
[2025-09-20T19:09:22.582+0000] {01_Bronce.py:223} INFO - Processing chunk 35 with 15000 rows
[2025-09-20T19:09:31.528+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 525,000
[2025-09-20T19:09:31.878+0000] {01_Bronce.py:223} INFO - Processing chunk 36 with 15000 rows
[2025-09-20T19:09:36.528+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 540,000
[2025-09-20T19:09:36.848+0000] {01_Bronce.py:223} INFO - Processing chunk 37 with 15000 rows
[2025-09-20T19:09:41.609+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 555,000
[2025-09-20T19:09:41.911+0000] {01_Bronce.py:223} INFO - Processing chunk 38 with 15000 rows
[2025-09-20T19:09:46.779+0000] {01_Bronce.py:324} INFO - Loaded chunk: 15,000 rows. Total: 570,000
[2025-09-20T19:09:47.032+0000] {01_Bronce.py:223} INFO - Processing chunk 39 with 15000 rows
